# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
197.46    -0.2      12.76     11.0      -1.13     160.0     Culgoora   
111.23    -9.67     12.66     10.9      -1.14     160.0     Culgoora   
203.22    2.01      12.65     11.8      -0.53     160.0     Culgoora   
32.52     -11.0     12.6      12.1      -0.31     160.0     Culgoora   
359.8     -60.94    12.6      23.98     -0.8      408.0     MRC        
279.42    -43.59    12.59     11.9      -0.43     160.0     Culgoora   
275.59    18.01     12.57     12.7      0.08      160.0     Culgoora   
175.28    1.24      12.52     11.1      -0.92     160.0     Culgoora   
14.79     -17.01    12.52     12.39     -0.8      180.0     MWACS      
29.42     -10.74    12.51     12.0      -0.32     160.0     Culgoora   
355.33    -58.27    12.51     12.4      -0.65     180.0     MWACS      
102.05    -39.95    12.48     12.32     -0.99     180.0     MWACS      
214.23    10.81     12.47     10.6      -1.24     160.0     Culgoora   
91.64     -20.37    12.46     12.35     -0.65     180.0     MWACS      
22.62     -26.17    12.43     12.3      -0.8      180.0     MWACS      
84.23     -3.14     12.41     11.1      -0.85     160.0     Culgoora   
307.03    -15.36    12.37     11.2      -0.76     160.0     Culgoora   
13.53     -3.57     12.37     11.2      -0.76     160.0     Culgoora   
16.09     -12.59    12.35     12.7      0.21      160.0     Culgoora   
57.19     33.85     12.35     12.0      -0.22     160.0     Culgoora   
343.49    16.13     12.35     12.0      -0.22     160.0     Culgoora   
84.06     -49.74    12.32     12.2      -0.7      180.0     MWACS      
275.62    -9.65     12.32     12.4      0.05      160.0     Culgoora   
207.41    21.12     12.18     11.6      -0.37     160.0     Culgoora   
339.44    -11.76    12.18     11.6      -0.37     160.0     Culgoora   
28.35     -3.57     12.18     11.6      -0.37     160.0     Culgoora   
182.17    -34.07    12.12     11.2      -0.6      160.0     Culgoora   
181.58    4.1       12.09     10.3      -1.22     160.0     Culgoora   
358.55    32.92     12.02     11.8      -0.14     160.0     Culgoora   
166.55    -24.75    11.98     10.4      -1.08     160.0     Culgoora   
246.48    -31.14    11.95     11.0      -0.63     160.0     Culgoora   
26.06     34.2      11.92     11.3      -0.41     160.0     Culgoora   
329.24    -18.23    11.92     11.74     -1.1      180.0     MWACS      
55.04     32.19     11.9      10.8      -0.74     160.0     Culgoora   
324.46    -20.71    11.87     11.83     -0.21     180.0     MWACS      
110.54    -18.81    11.86     11.7      -0.98     180.0     MWACS      
113.98    33.14     11.85     10.9      -0.64     160.0     Culgoora   
290.88    -7.69     11.84     10.6      -0.84     160.0     Culgoora   
191.49    -41.48    11.84     10.6      -0.84     160.0     Culgoora   
162.16    -41.24    11.84     10.6      -0.84     160.0     Culgoora   
170.18    23.44     11.81     10.1      -1.19     160.0     Culgoora   
220.51    -26.63    11.81     10.7      -0.75     160.0     Culgoora   
67.24     -53.82    11.8      11.8      0.0       180.0     MWACS      
128.7     16.98     11.77     11.3      -0.31     160.0     Culgoora   
135.6     -5.29     11.77     11.3      -0.31     160.0     Culgoora   
70.49     1.33      11.76     10.8      -0.65     160.0     Culgoora   
289.41    -45.49    11.75     10.5      -0.86     160.0     Culgoora   
327.69    14.54     11.74     11.1      -0.43     160.0     Culgoora   
209.25    1.08      11.74     11.1      -0.43     160.0     Culgoora   
337.45    -38.39    11.72     11.69     -0.23     180.0     MWACS      
63.21     -56.01    11.71     11.6      -0.69     180.0     MWACS      
175.74    21.48     11.71     10.0      -1.2      160.0     Culgoora   
284.29    -30.32    11.7      10.1      -1.12     160.0     Culgoora   
202.53    -21.7     11.7      10.1      -1.12     160.0     Culgoora   
151.51    34.91     11.59     11.5      -0.06     160.0     Culgoora   
171.47    -35.39    11.58     10.2      -0.97     160.0     Culgoora   
148.0     24.37     11.56     10.3      -0.88     160.0     Culgoora   
